gene	locus_number	method
PRDM16	1	FOCUS_PIP_gt_0.5
RP11-22L13.1	1	FOCUS_PIP_gt_0.5
C1orf195	3	FOCUS_PIP_gt_0.5
FHAD1	3	FOCUS_PIP_gt_0.5
TMEM51	3	FOCUS_PIP_gt_0.5
C1orf122	4	FOCUS_PIP_gt_0.5
FHL3	4	FOCUS_PIP_gt_0.5
INPP5B	4	FOCUS_PIP_gt_0.5
MTF1	4	FOCUS_PIP_gt_0.5
SF3A3	4	FOCUS_PIP_gt_0.5
INPP5B	4	S-PrediXcan_COLOC_PPH4_gt_0.5
MTF1	4	S-PrediXcan_COLOC_PPH4_gt_0.5
BMP8A	5	FOCUS_PIP_gt_0.5
MACF1	5	FOCUS_PIP_gt_0.5
PABPC4	5	FOCUS_PIP_gt_0.5
WDR78	7	FOCUS_PIP_gt_0.5
DENND2C	10	FOCUS_PIP_gt_0.5
NRAS	10	FOCUS_PIP_gt_0.5
SYCP1	10	FOCUS_PIP_gt_0.5
TRIM33	10	FOCUS_PIP_gt_0.5
TSPAN2	10	FOCUS_PIP_gt_0.5
NGF	10	S-PrediXcan_COLOC_PPH4_gt_0.5
TSPAN2	10	S-PrediXcan_COLOC_PPH4_gt_0.5
ADAMTSL4	11	FOCUS_PIP_gt_0.5
BOLA1	11	FOCUS_PIP_gt_0.5
CIART	11	FOCUS_PIP_gt_0.5
ECM1	11	FOCUS_PIP_gt_0.5
HIST2H2AB	11	FOCUS_PIP_gt_0.5
MRPS21	11	FOCUS_PIP_gt_0.5
OTUD7B	11	FOCUS_PIP_gt_0.5
PRPF3	11	FOCUS_PIP_gt_0.5
RPRD2	11	FOCUS_PIP_gt_0.5
SF3B4	11	FOCUS_PIP_gt_0.5
SV2A	11	FOCUS_PIP_gt_0.5
TARS2	11	FOCUS_PIP_gt_0.5
ADAMTSL4	11	S-PrediXcan_COLOC_PPH4_gt_0.5
ECM1	11	S-PrediXcan_COLOC_PPH4_gt_0.5
MEF2D	12	FOCUS_PIP_gt_0.5
RHBG	12	FOCUS_PIP_gt_0.5
MEF2D	12	S-PrediXcan_COLOC_PPH4_gt_0.5
KIAA0040	13	FOCUS_PIP_gt_0.5
RABGAP1L	13	FOCUS_PIP_gt_0.5
RP11-160H22.5	13	FOCUS_PIP_gt_0.5
KIAA0040	13	S-PrediXcan_COLOC_PPH4_gt_0.5
DYRK3	15	FOCUS_PIP_gt_0.5
MAPKAPK2	15	FOCUS_PIP_gt_0.5
DYRK3	15	S-PrediXcan_COLOC_PPH4_gt_0.5
THADA	17	FOCUS_PIP_gt_0.5
ASTL	18	FOCUS_PIP_gt_0.5
CIAO1	18	FOCUS_PIP_gt_0.5
ITPRIPL1	18	FOCUS_PIP_gt_0.5
LINC00342	18	FOCUS_PIP_gt_0.5
TMEM127	18	FOCUS_PIP_gt_0.5
ADRA2B	18	S-PrediXcan_COLOC_PPH4_gt_0.5
ASTL	18	S-PrediXcan_COLOC_PPH4_gt_0.5
CIAO1	18	S-PrediXcan_COLOC_PPH4_gt_0.5
ITPRIPL1	18	S-PrediXcan_COLOC_PPH4_gt_0.5
LINC00342	18	S-PrediXcan_COLOC_PPH4_gt_0.5
TMEM127	18	S-PrediXcan_COLOC_PPH4_gt_0.5
GPD2	21	FOCUS_PIP_gt_0.5
BBS5	22	FOCUS_PIP_gt_0.5
GAD1	22	FOCUS_PIP_gt_0.5
AC007405.4	22	S-PrediXcan_COLOC_PPH4_gt_0.5
AC007405.6	22	S-PrediXcan_COLOC_PPH4_gt_0.5
ERICH2	22	S-PrediXcan_COLOC_PPH4_gt_0.5
GAD1	22	S-PrediXcan_COLOC_PPH4_gt_0.5
LINC01124	22	S-PrediXcan_COLOC_PPH4_gt_0.5
SP5	22	S-PrediXcan_COLOC_PPH4_gt_0.5
EVX2	23	FOCUS_PIP_gt_0.5
ABI2	24	FOCUS_PIP_gt_0.5
CARF	24	FOCUS_PIP_gt_0.5
NBEAL1	24	FOCUS_PIP_gt_0.5
WDR12	24	FOCUS_PIP_gt_0.5
ICA1L	24	S-PrediXcan_COLOC_PPH4_gt_0.5
HJURP	25	FOCUS_PIP_gt_0.5
CCDC51	27	FOCUS_PIP_gt_0.5
TMA7	27	FOCUS_PIP_gt_0.5
CCDC51	27	S-PrediXcan_COLOC_PPH4_gt_0.5
PLXNB1	27	S-PrediXcan_COLOC_PPH4_gt_0.5
TMA7	27	S-PrediXcan_COLOC_PPH4_gt_0.5
TREX1	27	S-PrediXcan_COLOC_PPH4_gt_0.5
C3orf38	30	FOCUS_PIP_gt_0.5
CGGBP1	30	FOCUS_PIP_gt_0.5
ZNF654	30	FOCUS_PIP_gt_0.5
C3orf38	30	S-PrediXcan_COLOC_PPH4_gt_0.5
ZNF654	30	S-PrediXcan_COLOC_PPH4_gt_0.5
ITGB5	31	FOCUS_PIP_gt_0.5
ITGB5	31	S-PrediXcan_COLOC_PPH4_gt_0.5
NOA1	34	FOCUS_PIP_gt_0.5
REST	34	FOCUS_PIP_gt_0.5
RP11-738E22.3	34	FOCUS_PIP_gt_0.5
NOA1	34	S-PrediXcan_COLOC_PPH4_gt_0.5
REST	34	S-PrediXcan_COLOC_PPH4_gt_0.5
ANKDD1B	35	FOCUS_PIP_gt_0.5
CTC-366B18.4	35	FOCUS_PIP_gt_0.5
POC5	35	FOCUS_PIP_gt_0.5
ANKDD1B	35	S-PrediXcan_COLOC_PPH4_gt_0.5
PPIC	38	FOCUS_PIP_gt_0.5
SNX2	38	FOCUS_PIP_gt_0.5
SNX24	38	FOCUS_PIP_gt_0.5
HMGXB3	40	FOCUS_PIP_gt_0.5
SLC26A2	40	FOCUS_PIP_gt_0.5
TIGD6	40	FOCUS_PIP_gt_0.5
HMGXB3	40	S-PrediXcan_COLOC_PPH4_gt_0.5
BNIP1	41	FOCUS_PIP_gt_0.5
CREBRF	41	FOCUS_PIP_gt_0.5
NKX2-5	41	FOCUS_PIP_gt_0.5
NKX2-5	41	S-PrediXcan_COLOC_PPH4_gt_0.5
GRK6	42	FOCUS_PIP_gt_0.5
NSD1	42	FOCUS_PIP_gt_0.5
PRELID1	42	FOCUS_PIP_gt_0.5
RAB24	42	FOCUS_PIP_gt_0.5
PHACTR1	43	FOCUS_PIP_gt_0.5
PHACTR1	43	S-PrediXcan_COLOC_PPH4_gt_0.5
NBAT1	44	FOCUS_PIP_gt_0.5
IER3	45	S-PrediXcan_COLOC_PPH4_gt_0.5
C2	46	FOCUS_PIP_gt_0.5
NEU1	46	S-PrediXcan_COLOC_PPH4_gt_0.5
KCNK5	47	FOCUS_PIP_gt_0.5
SAYSD1	47	FOCUS_PIP_gt_0.5
LINC00472	48	FOCUS_PIP_gt_0.5
RIMS1	48	FOCUS_PIP_gt_0.5
RIMS1	48	S-PrediXcan_COLOC_PPH4_gt_0.5
FHL5	49	FOCUS_PIP_gt_0.5
GPR63	49	FOCUS_PIP_gt_0.5
UFL1	49	FOCUS_PIP_gt_0.5
UFL1	49	S-PrediXcan_COLOC_PPH4_gt_0.5
MFSD4B	50	FOCUS_PIP_gt_0.5
REV3L	50	FOCUS_PIP_gt_0.5
RP5-1112D6.7	50	FOCUS_PIP_gt_0.5
TBC1D32	51	FOCUS_PIP_gt_0.5
GINM1	52	FOCUS_PIP_gt_0.5
LATS1	52	FOCUS_PIP_gt_0.5
LRP11	52	FOCUS_PIP_gt_0.5
NUP43	52	FOCUS_PIP_gt_0.5
RAET1E	52	FOCUS_PIP_gt_0.5
RAET1G	52	FOCUS_PIP_gt_0.5
GINM1	52	S-PrediXcan_COLOC_PPH4_gt_0.5
KATNA1	52	S-PrediXcan_COLOC_PPH4_gt_0.5
LATS1	52	S-PrediXcan_COLOC_PPH4_gt_0.5
NUP43	52	S-PrediXcan_COLOC_PPH4_gt_0.5
ULBP2	52	S-PrediXcan_COLOC_PPH4_gt_0.5
BCL7B	54	FOCUS_PIP_gt_0.5
FZD9	54	FOCUS_PIP_gt_0.5
MLXIPL	54	FOCUS_PIP_gt_0.5
TBL2	54	FOCUS_PIP_gt_0.5
MLXIPL	54	S-PrediXcan_COLOC_PPH4_gt_0.5
ING3	55	FOCUS_PIP_gt_0.5
TSPAN12	55	FOCUS_PIP_gt_0.5
PTK2B	56	FOCUS_PIP_gt_0.5
TRIM35	56	FOCUS_PIP_gt_0.5
PTK2B	56	S-PrediXcan_COLOC_PPH4_gt_0.5
FXN	60	FOCUS_PIP_gt_0.5
PIP5K1B	60	FOCUS_PIP_gt_0.5
TJP2	60	FOCUS_PIP_gt_0.5
TJP2	60	S-PrediXcan_COLOC_PPH4_gt_0.5
TRIM32	62	FOCUS_PIP_gt_0.5
CASC10	65	FOCUS_PIP_gt_0.5
MLLT10	65	FOCUS_PIP_gt_0.5
SKIDA1	65	FOCUS_PIP_gt_0.5
MLLT10	65	S-PrediXcan_COLOC_PPH4_gt_0.5
CYP2C18	66	FOCUS_PIP_gt_0.5
CYP2C8	66	FOCUS_PIP_gt_0.5
CYP2C9	66	FOCUS_PIP_gt_0.5
HELLS	66	FOCUS_PIP_gt_0.5
NOC3L	66	FOCUS_PIP_gt_0.5
PLCE1	66	FOCUS_PIP_gt_0.5
TBC1D12	66	FOCUS_PIP_gt_0.5
CYP2C9	66	S-PrediXcan_COLOC_PPH4_gt_0.5
HELLS	66	S-PrediXcan_COLOC_PPH4_gt_0.5
PLCE1	66	S-PrediXcan_COLOC_PPH4_gt_0.5
CNNM1	67	FOCUS_PIP_gt_0.5
HPSE2	67	FOCUS_PIP_gt_0.5
HPSE2	67	S-PrediXcan_COLOC_PPH4_gt_0.5
CNNM2	68	FOCUS_PIP_gt_0.5
INA	68	FOCUS_PIP_gt_0.5
NT5C2	68	FOCUS_PIP_gt_0.5
PDCD4	69	FOCUS_PIP_gt_0.5
RBM20	69	FOCUS_PIP_gt_0.5
PDCD4	69	S-PrediXcan_COLOC_PPH4_gt_0.5
RBM20	69	S-PrediXcan_COLOC_PPH4_gt_0.5
ARMS2	70	FOCUS_PIP_gt_0.5
BTBD16	70	FOCUS_PIP_gt_0.5
HTRA1	70	FOCUS_PIP_gt_0.5
ARMS2	70	S-PrediXcan_COLOC_PPH4_gt_0.5
HTRA1	70	S-PrediXcan_COLOC_PPH4_gt_0.5
RP11-282I1.1	70	S-PrediXcan_COLOC_PPH4_gt_0.5
RP11-282I1.1	71	FOCUS_PIP_gt_0.5
ARMS2	71	S-PrediXcan_COLOC_PPH4_gt_0.5
HTRA1	71	S-PrediXcan_COLOC_PPH4_gt_0.5
RP11-282I1.1	71	S-PrediXcan_COLOC_PPH4_gt_0.5
NKX6-2	72	FOCUS_PIP_gt_0.5
MRGPRE	73	FOCUS_PIP_gt_0.5
MRGPRE	73	S-PrediXcan_COLOC_PPH4_gt_0.5
DENND5A	74	FOCUS_PIP_gt_0.5
LYVE1	74	FOCUS_PIP_gt_0.5
MRVI1	74	FOCUS_PIP_gt_0.5
LYVE1	74	S-PrediXcan_COLOC_PPH4_gt_0.5
CALCA	75	FOCUS_PIP_gt_0.5
CALCB	75	FOCUS_PIP_gt_0.5
INSC	75	FOCUS_PIP_gt_0.5
MPPED2	76	FOCUS_PIP_gt_0.5
ARFGAP2	77	FOCUS_PIP_gt_0.5
ATG13	77	FOCUS_PIP_gt_0.5
C1QTNF4	77	FOCUS_PIP_gt_0.5
FNBP4	77	FOCUS_PIP_gt_0.5
HARBI1	77	FOCUS_PIP_gt_0.5
KBTBD4	77	FOCUS_PIP_gt_0.5
MDK	77	FOCUS_PIP_gt_0.5
MTCH2	77	FOCUS_PIP_gt_0.5
AMBRA1	77	S-PrediXcan_COLOC_PPH4_gt_0.5
ATG13	77	S-PrediXcan_COLOC_PPH4_gt_0.5
C11orf49	77	S-PrediXcan_COLOC_PPH4_gt_0.5
C1QTNF4	77	S-PrediXcan_COLOC_PPH4_gt_0.5
CHRM4	77	S-PrediXcan_COLOC_PPH4_gt_0.5
CKAP5	77	S-PrediXcan_COLOC_PPH4_gt_0.5
MDK	77	S-PrediXcan_COLOC_PPH4_gt_0.5
NDUFS3	77	S-PrediXcan_COLOC_PPH4_gt_0.5
RAB3IL1	78	FOCUS_PIP_gt_0.5
ACTN3	79	FOCUS_PIP_gt_0.5
CCDC87	79	FOCUS_PIP_gt_0.5
CCS	79	FOCUS_PIP_gt_0.5
CTD-3074O7.2	79	FOCUS_PIP_gt_0.5
CTSF	79	FOCUS_PIP_gt_0.5
NPAS4	79	FOCUS_PIP_gt_0.5
RAD9A	79	FOCUS_PIP_gt_0.5
YAP1	80	S-PrediXcan_COLOC_PPH4_gt_0.5
RP11-448P19.1	81	FOCUS_PIP_gt_0.5
RAD51AP1	82	FOCUS_PIP_gt_0.5
C12orf4	82	S-PrediXcan_COLOC_PPH4_gt_0.5
CCND2	82	S-PrediXcan_COLOC_PPH4_gt_0.5
TIGAR	82	S-PrediXcan_COLOC_PPH4_gt_0.5
ERBB3	84	FOCUS_PIP_gt_0.5
IKZF4	84	FOCUS_PIP_gt_0.5
LRP1	84	FOCUS_PIP_gt_0.5
NAB2	84	FOCUS_PIP_gt_0.5
NEMP1	84	FOCUS_PIP_gt_0.5
RDH16	84	FOCUS_PIP_gt_0.5
STAT6	84	FOCUS_PIP_gt_0.5
SUOX	84	FOCUS_PIP_gt_0.5
LRP1	84	S-PrediXcan_COLOC_PPH4_gt_0.5
STAT6	84	S-PrediXcan_COLOC_PPH4_gt_0.5
ATP2B1	85	FOCUS_PIP_gt_0.5
ATP2B1	85	S-PrediXcan_COLOC_PPH4_gt_0.5
RP11-486O12.2	87	FOCUS_PIP_gt_0.5
TMED2	87	FOCUS_PIP_gt_0.5
LRCH1	88	FOCUS_PIP_gt_0.5
LRCH1	88	S-PrediXcan_COLOC_PPH4_gt_0.5
ACTR10	93	FOCUS_PIP_gt_0.5
ARID4A	93	FOCUS_PIP_gt_0.5
C14orf37	93	FOCUS_PIP_gt_0.5
LINC00216	93	FOCUS_PIP_gt_0.5
PSMA3	93	FOCUS_PIP_gt_0.5
ARID4A	93	S-PrediXcan_COLOC_PPH4_gt_0.5
LINC00216	93	S-PrediXcan_COLOC_PPH4_gt_0.5
ACYP1	94	FOCUS_PIP_gt_0.5
DLST	94	FOCUS_PIP_gt_0.5
EIF2B2	94	FOCUS_PIP_gt_0.5
MLH3	94	FOCUS_PIP_gt_0.5
RPS6KL1	94	FOCUS_PIP_gt_0.5
ZC2HC1C	94	FOCUS_PIP_gt_0.5
DLST	94	S-PrediXcan_COLOC_PPH4_gt_0.5
ACYP1	95	FOCUS_PIP_gt_0.5
DLST	95	FOCUS_PIP_gt_0.5
EIF2B2	95	FOCUS_PIP_gt_0.5
MLH3	95	FOCUS_PIP_gt_0.5
RPS6KL1	95	FOCUS_PIP_gt_0.5
ZC2HC1C	95	FOCUS_PIP_gt_0.5
GON7	96	FOCUS_PIP_gt_0.5
ITPK1	96	FOCUS_PIP_gt_0.5
ABHD17C	98	FOCUS_PIP_gt_0.5
ABHD17C	98	S-PrediXcan_COLOC_PPH4_gt_0.5
CDIP1	99	FOCUS_PIP_gt_0.5
CORO7	99	FOCUS_PIP_gt_0.5
DNAJA3	99	FOCUS_PIP_gt_0.5
HMOX2	99	FOCUS_PIP_gt_0.5
NMRAL1	99	FOCUS_PIP_gt_0.5
PAM16	99	FOCUS_PIP_gt_0.5
VASN	99	FOCUS_PIP_gt_0.5
CDIP1	99	S-PrediXcan_COLOC_PPH4_gt_0.5
CORO7	99	S-PrediXcan_COLOC_PPH4_gt_0.5
DNAJA3	99	S-PrediXcan_COLOC_PPH4_gt_0.5
HMOX2	99	S-PrediXcan_COLOC_PPH4_gt_0.5
NMRAL1	99	S-PrediXcan_COLOC_PPH4_gt_0.5
PAM16	99	S-PrediXcan_COLOC_PPH4_gt_0.5
BCAR1	100	FOCUS_PIP_gt_0.5
CFDP1	100	FOCUS_PIP_gt_0.5
TMEM170A	100	FOCUS_PIP_gt_0.5
BCAR1	100	S-PrediXcan_COLOC_PPH4_gt_0.5
CFDP1	100	S-PrediXcan_COLOC_PPH4_gt_0.5
TMEM170A	100	S-PrediXcan_COLOC_PPH4_gt_0.5
ZCCHC14	101	FOCUS_PIP_gt_0.5
HIC1	102	FOCUS_PIP_gt_0.5
RP11-667K14.3	102	FOCUS_PIP_gt_0.5
SGSM2	102	FOCUS_PIP_gt_0.5
SMG6	102	FOCUS_PIP_gt_0.5
HIC1	102	S-PrediXcan_COLOC_PPH4_gt_0.5
CD68	103	FOCUS_PIP_gt_0.5
CHRNB1	103	FOCUS_PIP_gt_0.5
MPDU1	103	FOCUS_PIP_gt_0.5
POLR2A	103	FOCUS_PIP_gt_0.5
SENP3	103	FOCUS_PIP_gt_0.5
SHBG	103	FOCUS_PIP_gt_0.5
SLC35G6	103	FOCUS_PIP_gt_0.5
TP53	103	FOCUS_PIP_gt_0.5
ZBTB4	103	FOCUS_PIP_gt_0.5
HOXB2	104	FOCUS_PIP_gt_0.5
HOXB3	104	FOCUS_PIP_gt_0.5
HOXB5	104	FOCUS_PIP_gt_0.5
HOXB6	104	FOCUS_PIP_gt_0.5
HOXB7	104	FOCUS_PIP_gt_0.5
PHB	104	FOCUS_PIP_gt_0.5
RP11-1079K10.3	104	FOCUS_PIP_gt_0.5
RP11-433M22.2	104	FOCUS_PIP_gt_0.5
HOXB2	105	FOCUS_PIP_gt_0.5
HOXB3	105	FOCUS_PIP_gt_0.5
HOXB5	105	FOCUS_PIP_gt_0.5
HOXB6	105	FOCUS_PIP_gt_0.5
HOXB7	105	FOCUS_PIP_gt_0.5
PHB	105	FOCUS_PIP_gt_0.5
RP11-1079K10.3	105	FOCUS_PIP_gt_0.5
RP11-433M22.2	105	FOCUS_PIP_gt_0.5
MRC2	106	FOCUS_PIP_gt_0.5
MRC2	106	S-PrediXcan_COLOC_PPH4_gt_0.5
RNF213	107	S-PrediXcan_COLOC_PPH4_gt_0.5
ENDOV	108	FOCUS_PIP_gt_0.5
RNF213	108	FOCUS_PIP_gt_0.5
SGSH	108	FOCUS_PIP_gt_0.5
SLC26A11	108	FOCUS_PIP_gt_0.5
RNF213	108	S-PrediXcan_COLOC_PPH4_gt_0.5
ATP13A1	113	FOCUS_PIP_gt_0.5
GATAD2A	113	FOCUS_PIP_gt_0.5
MAU2	113	FOCUS_PIP_gt_0.5
PBX4	113	FOCUS_PIP_gt_0.5
RFXANK	113	FOCUS_PIP_gt_0.5
ATP5SL	114	FOCUS_PIP_gt_0.5
B3GNT8	114	FOCUS_PIP_gt_0.5
B9D2	114	FOCUS_PIP_gt_0.5
EXOSC5	114	FOCUS_PIP_gt_0.5
TGFB1	114	FOCUS_PIP_gt_0.5
TMEM91	114	FOCUS_PIP_gt_0.5
B9D2	114	S-PrediXcan_COLOC_PPH4_gt_0.5
SLX4IP	115	FOCUS_PIP_gt_0.5
NOL4L	117	FOCUS_PIP_gt_0.5
PLAGL2	117	FOCUS_PIP_gt_0.5
POFUT1	117	FOCUS_PIP_gt_0.5
RP11-410N8.4	117	FOCUS_PIP_gt_0.5
RP11-410N8.4	117	S-PrediXcan_COLOC_PPH4_gt_0.5
EYA2	118	FOCUS_PIP_gt_0.5
KCNS1	118	FOCUS_PIP_gt_0.5
SLPI	118	FOCUS_PIP_gt_0.5
STK4	118	FOCUS_PIP_gt_0.5
ZMYND8	118	FOCUS_PIP_gt_0.5
KCNE2	119	FOCUS_PIP_gt_0.5
SLC5A3	119	FOCUS_PIP_gt_0.5
AP000318.2	119	S-PrediXcan_COLOC_PPH4_gt_0.5
KCNE2	119	S-PrediXcan_COLOC_PPH4_gt_0.5
LINC00310	119	S-PrediXcan_COLOC_PPH4_gt_0.5
MRPS6	119	S-PrediXcan_COLOC_PPH4_gt_0.5
SLC5A3	119	S-PrediXcan_COLOC_PPH4_gt_0.5
CCDC188	121	FOCUS_PIP_gt_0.5
TRMT2A	121	FOCUS_PIP_gt_0.5
CCDC188	121	S-PrediXcan_COLOC_PPH4_gt_0.5
